GEOID,STATEFP,STATE,COUNTYFP,COUNTY,MEDN_INC22,TOT_HOUS22,0_35K,35K_60K,60K-100K,100K_125K,125K_150K,150K_MORE
450190055002,45, South Carolina,19, Charleston County,38869.0,334,135,133,66,0,0,0
450190056011,45, South Carolina,19, Charleston County,81467.0,757,73,145,306,144,47,42
450190056012,45, South Carolina,19, Charleston County,87994.0,1582,227,267,376,344,136,232
450190056013,45, South Carolina,19, Charleston County,111830.0,1623,150,228,295,276,196,478
450190056021,45, South Carolina,19, Charleston County,59926.0,1318,289,374,192,103,82,278
450190056022,45, South Carolina,19, Charleston County,120038.0,635,119,95,86,178,32,125
450190056023,45, South Carolina,19, Charleston County,68542.0,789,275,68,230,49,98,69
450190057011,45, South Carolina,19, Charleston County,135521.0,1001,100,57,175,135,148,386
450190057012,45, South Carolina,19, Charleston County,84614.0,513,117,39,138,39,37,143
450190057013,45, South Carolina,19, Charleston County,133621.0,738,93,36,163,41,77,328
450190057021,45, South Carolina,19, Charleston County,109167.0,696,124,82,132,87,105,166
450190057022,45, South Carolina,19, Charleston County,74193.0,923,123,306,154,127,76,137
450190058001,45, South Carolina,19, Charleston County,57219.0,985,314,183,99,119,51,219
450190058002,45, South Carolina,19, Charleston County,105339.0,476,0,69,161,68,24,154
450190058003,45, South Carolina,19, Charleston County,98036.0,1760,172,223,496,101,215,553
450190059001,45, South Carolina,19, Charleston County,97721.0,507,50,108,111,78,12,148
450190059002,45, South Carolina,19, Charleston County,101500.0,432,35,88,90,45,54,120
450190059003,45, South Carolina,19, Charleston County,90885.0,869,100,239,139,61,54,276
